ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Seasonal Root and Needle Transcriptomics 2012,P1169_108,Needles.25_year.August.1A,2014-07-29,1_140729_BC49TKACXX_P1169_108_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_108/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_108,Needles.25_year.August.1A,2014-07-29,1_140729_BC49TKACXX_P1169_108_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_108/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_109,Needles.25_year.August.1A,2014-07-29,4_140729_BC49TKACXX_P1169_109_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_109/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_109,Needles.25_year.August.1A,2014-07-29,4_140729_BC49TKACXX_P1169_109_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_109/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_110,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_110_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_110/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_110,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_110_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_110/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_111,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_111_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_111/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_111,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_111_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_111/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_112,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_112_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_112/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_112,Needles.25_year.October.1A,2014-07-29,4_140729_BC49TKACXX_P1169_112_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_112/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_113,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_113_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_113/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_113,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_113_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_113/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_114,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_114_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_114/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_114,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_114_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_114/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_115,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_115_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_115/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_115,Needles.5_year.Early_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_115_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_115/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_116,Needles.5_year.Late_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_116_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_116/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_116,Needles.5_year.Late_June.3B,2014-07-29,1_140729_BC49TKACXX_P1169_116_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_116/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_117,Needles.5_year.Late_June.3B,2014-07-29,4_140729_BC49TKACXX_P1169_117_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_117/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_117,Needles.5_year.Late_June.3B,2014-07-29,4_140729_BC49TKACXX_P1169_117_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_117/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_118,Needles.5_year.Late_June.3B,2014-07-29,4_140729_BC49TKACXX_P1169_118_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_118/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_118,Needles.5_year.Late_June.3B,2014-07-29,4_140729_BC49TKACXX_P1169_118_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_118/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_119,Needles.5_year.August.3B,2014-07-29,4_140729_BC49TKACXX_P1169_119_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_119/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_119,Needles.5_year.August.3B,2014-07-29,4_140729_BC49TKACXX_P1169_119_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_119/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_120,Needles.5_year.August.3B,2014-07-29,4_140729_BC49TKACXX_P1169_120_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_120/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_120,Needles.5_year.August.3B,2014-07-29,4_140729_BC49TKACXX_P1169_120_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_120/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_121,Needles.5_year.August.3B,2014-07-29,1_140729_BC49TKACXX_P1169_121_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_121/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_121,Needles.5_year.August.3B,2014-07-29,1_140729_BC49TKACXX_P1169_121_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_121/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_122,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_122_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_122/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_122,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_122_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_122/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_123,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_123_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_123/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_123,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_123_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_123/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_124,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_124_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_124/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_124,Needles.5_year.October.3B,2014-07-29,1_140729_BC49TKACXX_P1169_124_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_124/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_125,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_125_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_125/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_125,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_125_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_125/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_126,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_126_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_126/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_126,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_126_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_126/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_127,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_127_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_127/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_127,Needles.Control.Early_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_127_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_127/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_128,Needles.Control.Late_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_128_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_128/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_128,Needles.Control.Late_June.4A,2014-07-29,5_140729_BC49TKACXX_P1169_128_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_128/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_130,Needles.Control.Late_June.4A,2014-07-29,2_140729_BC49TKACXX_P1169_130_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_130/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_130,Needles.Control.Late_June.4A,2014-07-29,2_140729_BC49TKACXX_P1169_130_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_130/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_131,Needles.Control.August.4A,2014-07-29,2_140729_BC49TKACXX_P1169_131_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_131/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_131,Needles.Control.August.4A,2014-07-29,2_140729_BC49TKACXX_P1169_131_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_131/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_132,Needles.Control.August.4A,2014-07-29,2_140729_BC49TKACXX_P1169_132_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_132/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_132,Needles.Control.August.4A,2014-07-29,2_140729_BC49TKACXX_P1169_132_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_132/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_133,Needles.Control.August.4A,2014-07-29,5_140729_BC49TKACXX_P1169_133_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_133/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_133,Needles.Control.August.4A,2014-07-29,5_140729_BC49TKACXX_P1169_133_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_133/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_134,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_134_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_134/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_134,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_134_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_134/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_135,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_135_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_135/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_135,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_135_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_135/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_136,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_136_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_136/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_136,Needles.Control.October.4A,2014-07-29,5_140729_BC49TKACXX_P1169_136_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_136/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_137,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_137_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_137/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_137,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_137_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_137/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_138,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_138_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_138/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_138,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_138_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_138/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_139,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_139_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_139/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_139,Needles.Control.Early_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_139_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_139/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_140,Needles.Control.Late_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_140_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_140/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_140,Needles.Control.Late_June.6A,2014-07-29,2_140729_BC49TKACXX_P1169_140_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_140/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_141,Needles.Control.Late_June.6A,2014-07-29,5_140729_BC49TKACXX_P1169_141_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_141/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_141,Needles.Control.Late_June.6A,2014-07-29,5_140729_BC49TKACXX_P1169_141_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_141/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_142,Needles.Control.Late_June.6A,2014-07-29,5_140729_BC49TKACXX_P1169_142_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_142/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_142,Needles.Control.Late_June.6A,2014-07-29,5_140729_BC49TKACXX_P1169_142_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_142/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_143,Needles.Control.August.6A,2014-07-29,5_140729_BC49TKACXX_P1169_143_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_143/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_143,Needles.Control.August.6A,2014-07-29,5_140729_BC49TKACXX_P1169_143_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_143/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_144,Needles.Control.August.6A,2014-07-29,5_140729_BC49TKACXX_P1169_144_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_144/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_144,Needles.Control.August.6A,2014-07-29,5_140729_BC49TKACXX_P1169_144_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_144/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_145,Needles.Control.August.6A,2014-07-29,2_140729_BC49TKACXX_P1169_145_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_145/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_145,Needles.Control.August.6A,2014-07-29,2_140729_BC49TKACXX_P1169_145_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_145/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_146,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_146_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_146/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_146,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_146_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_146/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_147,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_147_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_147/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_147,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_147_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_147/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_148,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_148_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_148/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_148,Needles.Control.October.6A,2014-07-29,2_140729_BC49TKACXX_P1169_148_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_148/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_149,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_149_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_149/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_149,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_149_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_149/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_150,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_150_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_150/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_150,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_150_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_150/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_151,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_151_1.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_151/140729_BC49TKACXX
Seasonal Root and Needle Transcriptomics 2012,P1169_151,Needles.25_year.Early_June.7A,2014-07-29,6_140729_BC49TKACXX_P1169_151_2.fastq.gz,/mnt/picea/storage/data/spruce/vhurry/Flakaliden-needles/V.Hurry_14_02/P1169_151/140729_BC49TKACXX
